timestamp_utc,ms_since_candle_start,event_type,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
02:30:10.064,10064,TICK,Up,0.6800,0.7000,0.6900,,,,,,
02:30:10.067,10067,TICK,Down,0.6800,0.7000,0.6900,0.3000,0.3200,0.3100,,,
02:30:11.623,11623,TICK,Up,0.6700,0.6800,0.6750,0.3000,0.3200,0.3100,,,
02:30:11.628,11629,TICK,Down,0.6700,0.6800,0.6750,0.3200,0.3300,0.3250,,,
02:30:11.634,11635,TICK,Up,0.6700,0.6800,0.6750,0.3200,0.3300,0.3250,,,
02:30:11.637,11637,TICK,Up,0.6600,0.6700,0.6650,0.3200,0.3300,0.3250,,,
02:30:11.640,11641,TICK,Down,0.6600,0.6700,0.6650,0.3300,0.3400,0.3350,,,
02:30:11.644,11644,TICK,Down,0.6600,0.6700,0.6650,0.3300,0.3400,0.3350,,,
02:30:11.647,11648,TICK,Up,0.6500,0.6700,0.6600,0.3300,0.3400,0.3350,,,
02:30:11.649,11650,TICK,Down,0.6500,0.6700,0.6600,0.3300,0.3500,0.3400,,,
02:30:11.651,11652,TICK,Down,0.6500,0.6700,0.6600,0.3300,0.3500,0.3400,,,
02:30:11.653,11654,TICK,Up,0.6500,0.7200,0.6850,0.3300,0.3500,0.3400,,,
02:30:11.658,11658,TICK,Down,0.6500,0.7200,0.6850,0.2800,0.3500,0.3150,,,
02:30:11.662,11663,TICK,Up,0.6500,0.7200,0.6850,0.2800,0.3500,0.3150,,,
02:30:12.354,12354,TICK,Up,0.6700,0.7000,0.6850,0.2800,0.3500,0.3150,,,
02:30:12.357,12358,TICK,Down,0.6700,0.7000,0.6850,0.3000,0.3300,0.3150,,,
02:30:12.361,12361,TICK,Up,0.6700,0.7000,0.6850,0.3000,0.3300,0.3150,,,
02:30:12.369,12370,TICK,Up,0.7000,0.7100,0.7050,0.3000,0.3300,0.3150,,,
02:30:12.380,12381,TICK,Down,0.7000,0.7100,0.7050,0.2900,0.3000,0.2950,,,
02:30:12.388,12389,TICK,Down,0.7000,0.7100,0.7050,0.2900,0.3000,0.2950,,,
02:30:12.402,12403,TICK,Up,0.6800,0.7100,0.6950,0.2900,0.3000,0.2950,,,
02:30:12.411,12411,TICK,Down,0.6800,0.7100,0.6950,0.2900,0.3200,0.3050,,,
02:30:12.414,12414,TICK,Up,0.6800,0.7100,0.6950,0.2900,0.3200,0.3050,,,
02:30:13.324,13324,TICK,Up,0.6800,0.7000,0.6900,0.2900,0.3200,0.3050,,,
02:30:13.328,13328,TICK,Down,0.6800,0.7000,0.6900,0.3000,0.3200,0.3100,,,
02:30:13.336,13337,TICK,Up,0.6800,0.7000,0.6900,0.3000,0.3200,0.3100,,,
02:30:13.342,13342,TICK,Up,0.6900,0.7500,0.7200,0.3000,0.3200,0.3100,,,
02:30:13.345,13346,TICK,Down,0.6900,0.7500,0.7200,0.2500,0.3100,0.2800,,,
02:30:13.349,13350,TICK,Down,0.6900,0.7500,0.7200,0.2500,0.3100,0.2800,,,
02:30:13.352,13353,TICK,Up,0.6800,0.7500,0.7150,0.2500,0.3100,0.2800,,,
02:30:13.357,13357,TICK,Down,0.6800,0.7500,0.7150,0.2500,0.3000,0.2750,,,
02:30:13.781,13782,TICK,Up,0.6800,0.7500,0.7150,0.2500,0.3000,0.2750,,,
02:30:13.784,13785,TICK,Up,0.6800,0.7500,0.7150,0.2500,0.3000,0.2750,,,
02:30:13.787,13788,TICK,Down,0.6800,0.7500,0.7150,0.2500,0.3200,0.2850,,,
