timestamp_utc,ms_since_candle_start,event_type,asset,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
18:45:02.893,2893,TICK,ETH,Up,0.5100,0.5500,0.5300,,,,,,
18:45:02.896,2896,TICK,ETH,Down,0.5100,0.5500,0.5300,0.4500,0.4900,0.4700,,,
18:45:02.900,2900,TICK,BTC,Up,0.5000,0.5100,0.5050,,,,,,
18:45:02.903,2903,TICK,BTC,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:02.905,2906,TICK,SOL,Up,0.5100,0.5500,0.5300,,,,,,
18:45:02.907,2908,TICK,SOL,Down,0.5100,0.5500,0.5300,0.4500,0.4900,0.4700,,,
18:45:02.911,2912,TICK,BTC,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:02.914,2915,TICK,BTC,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:02.917,2917,TICK,BTC,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:02.919,2920,TICK,BTC,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:02.922,2922,TICK,BTC,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:02.926,2926,TICK,BTC,Up,0.4900,0.5100,0.5000,0.4900,0.5000,0.4950,,,
18:45:02.929,2929,TICK,BTC,Down,0.4900,0.5100,0.5000,0.4900,0.5100,0.5000,,,
18:45:02.932,2933,TICK,BTC,Up,0.4900,0.5100,0.5000,0.4900,0.5100,0.5000,,,
18:45:02.939,2939,TICK,BTC,Down,0.4900,0.5100,0.5000,0.4900,0.5100,0.5000,,,
18:45:02.953,2953,TICK,BTC,Down,0.4900,0.5100,0.5000,0.4900,0.5100,0.5000,,,
18:45:02.995,2996,TICK,BTC,Down,0.4900,0.5100,0.5000,0.4900,0.5100,0.5000,,,
18:45:02.999,2999,TICK,BTC,Up,0.4900,0.5100,0.5000,0.4900,0.5100,0.5000,,,
18:45:03.004,3005,TICK,XRP,Up,0.5000,0.5100,0.5050,,,,,,
18:45:03.008,3008,TICK,XRP,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
18:45:03.012,3013,TICK,BTC,Up,0.4900,0.5000,0.4950,0.4900,0.5100,0.5000,,,
18:45:03.015,3015,TICK,BTC,Down,0.4900,0.5000,0.4950,0.5000,0.5100,0.5050,,,
18:45:03.042,3042,TICK,BTC,Up,0.4900,0.5000,0.4950,0.5000,0.5100,0.5050,,,
18:45:03.125,3125,TICK,BTC,Up,0.4900,0.5000,0.4950,0.5000,0.5100,0.5050,,,
18:45:03.127,3128,TICK,BTC,Down,0.4900,0.5000,0.4950,0.5000,0.5100,0.5050,,,
18:45:03.140,3140,TICK,BTC,Up,0.4900,0.5000,0.4950,0.5000,0.5100,0.5050,,,
