wallet,timestamp,time_utc,side,outcome,price,size,market
wallet_8,1773959715.0,2026-03-19 22:35:15,SELL,Up,0.45,16.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959715.0,2026-03-19 22:35:15,SELL,Up,0.45,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959719.0,2026-03-19 22:35:19,SELL,Up,0.41,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959721.0,2026-03-19 22:35:21,SELL,Up,0.36,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959721.0,2026-03-19 22:35:21,SELL,Up,0.36,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959721.0,2026-03-19 22:35:21,SELL,Up,0.38,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959725.0,2026-03-19 22:35:25,BUY,Up,0.36,12.82748,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959725.0,2026-03-19 22:35:25,SELL,Up,0.36,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959725.0,2026-03-19 22:35:25,SELL,Up,0.36,20.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959731.0,2026-03-19 22:35:31,SELL,Up,0.23,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959731.0,2026-03-19 22:35:31,SELL,Up,0.24641495327102803,107.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959731.0,2026-03-19 22:35:31,SELL,Up,0.24,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959733.0,2026-03-19 22:35:33,SELL,Up,0.2,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959735.0,2026-03-19 22:35:35,SELL,Up,0.21,13.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959735.0,2026-03-19 22:35:35,SELL,Up,0.21,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959737.0,2026-03-19 22:35:37,BUY,Up,0.22,11.91167,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
