timestamp_utc,ms_since_candle_start,event_type,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
02:15:02.761,2762,TICK,Up,0.5200,0.5400,0.5300,,,,,,
02:15:02.768,2768,TICK,Down,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:02.813,2814,TICK,Up,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:02.817,2817,TICK,Down,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:02.821,2822,TICK,Down,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:03.077,3077,TICK,Up,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:03.082,3083,TICK,Down,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:03.090,3090,TICK,Down,0.5200,0.5400,0.5300,0.4600,0.4800,0.4700,,,
02:15:03.171,3172,TICK,Up,0.5200,0.5500,0.5350,0.4600,0.4800,0.4700,,,
02:15:03.177,3177,TICK,Down,0.5200,0.5500,0.5350,0.4500,0.4800,0.4650,,,
02:15:03.182,3182,TICK,Up,0.5600,0.5700,0.5650,0.4500,0.4800,0.4650,,,
02:15:03.186,3186,TICK,Down,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.191,3191,TICK,Up,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.196,3196,TICK,Down,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.201,3201,TICK,Up,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.207,3208,TICK,Down,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.211,3212,TICK,Up,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.214,3214,TICK,Down,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.217,3217,TICK,Up,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.220,3220,TICK,Down,0.5600,0.5700,0.5650,0.4300,0.4400,0.4350,,,
02:15:03.223,3223,TICK,Up,0.5600,0.5800,0.5700,0.4300,0.4400,0.4350,,,
02:15:03.225,3226,TICK,Down,0.5600,0.5800,0.5700,0.4200,0.4400,0.4300,,,
02:15:03.229,3230,TICK,Down,0.5600,0.5800,0.5700,0.4200,0.4400,0.4300,,,
02:15:03.234,3235,TICK,Up,0.5600,0.5800,0.5700,0.4200,0.4400,0.4300,,,
02:15:03.238,3239,TICK,Down,0.5600,0.5800,0.5700,0.4200,0.4400,0.4300,,,
02:15:03.242,3243,TICK,Up,0.5600,0.5800,0.5700,0.4200,0.4400,0.4300,,,
02:15:03.246,3247,TICK,Up,0.5600,0.5800,0.5700,0.4200,0.4400,0.4300,,,
