timestamp_utc,ms_since_candle_start,event_type,asset,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
18:15:35.921,35922,TICK,BTC,Up,0.0200,0.0300,0.0250,,,,,,
18:15:36.861,36861,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.874,36874,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.888,36888,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.898,36898,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.911,36912,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.922,36923,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.926,36927,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.931,36932,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.937,36937,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.943,36944,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.949,36950,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.957,36958,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.962,36962,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.967,36968,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.972,36972,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.976,36977,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.980,36981,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:36.984,36985,TICK,BTC,Up,0.0100,0.0300,0.0200,0.9700,0.9800,0.9750,,,
18:15:36.994,36994,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.000,37000,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.006,37006,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.016,37016,TICK,BTC,Up,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.028,37029,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.044,37044,TICK,BTC,Up,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.059,37060,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.070,37071,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9700,0.9900,0.9800,,,
18:15:37.090,37090,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.100,37100,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.104,37104,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.111,37112,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.130,37130,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.134,37134,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.141,37141,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.145,37145,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.150,37150,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.155,37155,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.164,37164,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.171,37172,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.176,37177,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.181,37182,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.187,37188,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.192,37192,TICK,BTC,Up,0.0300,0.0400,0.0350,0.9800,0.9900,0.9850,,,
18:15:37.196,37197,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.204,37205,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.211,37212,TICK,BTC,Up,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.217,37218,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.225,37225,TICK,BTC,Up,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.231,37231,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.233,37234,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.411,37412,TICK,BTC,Up,0.0100,0.0400,0.0250,0.9600,0.9700,0.9650,,,
18:15:37.418,37418,TICK,BTC,Down,0.0100,0.0400,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.426,37426,TICK,BTC,Up,0.0100,0.0400,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.432,37432,TICK,BTC,Down,0.0100,0.0400,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.436,37437,TICK,BTC,Down,0.0100,0.0400,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.439,37440,TICK,BTC,Up,0.0300,0.0400,0.0350,0.9600,0.9900,0.9750,,,
18:15:37.442,37442,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.445,37445,TICK,BTC,Up,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.447,37447,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.449,37450,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.452,37452,TICK,BTC,Down,0.0300,0.0400,0.0350,0.9600,0.9700,0.9650,,,
18:15:37.457,37458,TICK,BTC,Up,0.0100,0.0400,0.0250,0.9600,0.9700,0.9650,,,
18:15:37.463,37463,TICK,BTC,Down,0.0100,0.0400,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.469,37469,TICK,BTC,Down,0.0100,0.0400,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.478,37478,TICK,BTC,Up,0.0200,0.0300,0.0250,0.9600,0.9900,0.9750,,,
18:15:37.482,37482,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:37.486,37486,TICK,BTC,Down,0.0200,0.0300,0.0250,0.9700,0.9800,0.9750,,,
18:15:37.489,37490,TICK,BTC,Up,0.0100,0.0300,0.0200,0.9700,0.9800,0.9750,,,
18:15:37.493,37493,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.499,37499,TICK,BTC,Up,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.503,37504,TICK,BTC,Down,0.0100,0.0300,0.0200,0.9700,0.9900,0.9800,,,
18:15:37.507,37508,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9700,0.9900,0.9800,,,
18:15:37.511,37511,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.513,37514,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.518,37518,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.521,37522,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.526,37527,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.540,37540,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.550,37550,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.562,37563,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.567,37568,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.571,37572,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.576,37577,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.578,37579,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.584,37585,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.591,37591,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.601,37602,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.606,37606,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.609,37609,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.612,37613,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.615,37616,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.618,37618,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.621,37622,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.624,37625,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.628,37628,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.632,37632,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.637,37638,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.640,37641,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.647,37648,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.654,37654,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.659,37659,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.667,37667,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.674,37674,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.684,37684,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.687,37688,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.692,37692,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.696,37697,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.702,37702,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.705,37705,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.709,37710,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.714,37714,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.719,37720,TICK,BTC,Up,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.724,37725,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:37.730,37730,TICK,BTC,Down,0.0100,0.0200,0.0150,0.9800,0.9900,0.9850,,,
18:15:39.079,39080,TICK,SOL,Up,0.0700,0.0900,0.0800,,,,,,
18:15:39.084,39084,TICK,SOL,Down,0.0700,0.0900,0.0800,0.9100,0.9300,0.9200,,,
18:15:39.088,39088,TICK,SOL,Down,0.0700,0.0900,0.0800,0.9100,0.9300,0.9200,,,
18:15:39.093,39093,TICK,SOL,Up,0.0500,0.0900,0.0700,0.9100,0.9300,0.9200,,,
18:15:39.095,39096,TICK,SOL,Down,0.0500,0.0900,0.0700,0.9100,0.9500,0.9300,,,
18:15:39.098,39098,TICK,SOL,Up,0.0500,0.0800,0.0650,0.9100,0.9500,0.9300,,,
18:15:39.101,39101,TICK,SOL,Down,0.0500,0.0800,0.0650,0.9200,0.9500,0.9350,,,
18:15:39.103,39103,TICK,SOL,Down,0.0500,0.0800,0.0650,0.9200,0.9500,0.9350,,,
18:15:39.105,39106,TICK,SOL,Down,0.0500,0.0800,0.0650,0.9200,0.9500,0.9350,,,
18:15:39.109,39110,TICK,SOL,Up,0.0300,0.0600,0.0450,0.9200,0.9500,0.9350,,,
18:15:39.113,39113,TICK,SOL,Down,0.0300,0.0600,0.0450,0.9400,0.9700,0.9550,,,
18:15:39.118,39119,TICK,SOL,Down,0.0300,0.0600,0.0450,0.9400,0.9700,0.9550,,,
18:15:39.124,39124,TICK,SOL,Up,0.1000,0.1100,0.1050,0.9400,0.9700,0.9550,,,
18:15:39.128,39128,TICK,SOL,Down,0.1000,0.1100,0.1050,0.8900,0.9000,0.8950,,,
18:15:39.133,39133,TICK,SOL,Up,0.1000,0.1100,0.1050,0.8900,0.9000,0.8950,,,
18:15:39.137,39138,TICK,SOL,Up,0.0500,0.1100,0.0800,0.8900,0.9000,0.8950,,,
18:15:39.140,39140,TICK,SOL,Down,0.0500,0.1100,0.0800,0.8900,0.9500,0.9200,,,
18:15:39.144,39144,TICK,SOL,Up,0.0300,0.1100,0.0700,0.8900,0.9500,0.9200,,,
18:15:39.147,39148,TICK,SOL,Down,0.0300,0.1100,0.0700,0.8900,0.9700,0.9300,,,
18:15:39.150,39151,TICK,SOL,Up,0.0300,0.1100,0.0700,0.8900,0.9700,0.9300,,,
18:15:39.154,39155,TICK,SOL,Down,0.0300,0.1100,0.0700,0.8900,0.9700,0.9300,,,
18:15:39.159,39159,TICK,SOL,Down,0.0300,0.1100,0.0700,0.8900,0.9700,0.9300,,,
18:15:39.163,39163,TICK,SOL,Down,0.0300,0.1100,0.0700,0.8900,0.9700,0.9300,,,
18:15:39.167,39167,TICK,SOL,Down,0.0300,0.1100,0.0700,0.8900,0.9700,0.9300,,,
18:15:39.172,39172,TICK,SOL,Up,0.0400,0.0700,0.0550,0.8900,0.9700,0.9300,,,
18:15:39.181,39181,TICK,SOL,Down,0.0400,0.0700,0.0550,0.9300,0.9600,0.9450,,,
18:15:39.187,39188,TICK,SOL,Down,0.0400,0.0700,0.0550,0.9300,0.9600,0.9450,,,
18:15:39.193,39193,TICK,SOL,Up,0.0400,0.0600,0.0500,0.9300,0.9600,0.9450,,,
18:15:39.196,39197,TICK,SOL,Down,0.0400,0.0600,0.0500,0.9400,0.9600,0.9500,,,
18:15:39.203,39203,TICK,SOL,Down,0.0400,0.0600,0.0500,0.9400,0.9600,0.9500,,,
18:15:39.209,39210,TICK,SOL,Up,0.0400,0.0500,0.0450,0.9400,0.9600,0.9500,,,
18:15:39.215,39215,TICK,SOL,Down,0.0400,0.0500,0.0450,0.9500,0.9600,0.9550,,,
18:15:39.220,39220,TICK,SOL,Down,0.0400,0.0500,0.0450,0.9500,0.9600,0.9550,,,
18:15:39.225,39225,TICK,SOL,Up,0.0300,0.0500,0.0400,0.9500,0.9600,0.9550,,,
18:15:39.229,39230,TICK,SOL,Down,0.0300,0.0500,0.0400,0.9500,0.9700,0.9600,,,
18:15:39.237,39238,TICK,SOL,Down,0.0300,0.0500,0.0400,0.9500,0.9700,0.9600,,,
