timestamp_utc,ms_since_candle_start,event_type,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
02:15:02.671,2672,TICK,Down,,,,0.5100,0.5200,0.5150,,,
02:15:02.681,2682,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:02.686,2687,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:02.691,2691,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:02.697,2697,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:02.751,2751,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:03.376,3376,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:03.380,3380,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:03.384,3385,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.557,4557,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.560,4561,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.564,4565,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.569,4570,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.572,4572,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.573,4574,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.575,4576,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.577,4578,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:04.580,4580,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.375,7376,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.381,7381,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.384,7385,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.391,7392,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.396,7397,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.400,7400,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.404,7405,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.409,7409,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.414,7415,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.423,7423,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.427,7427,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.431,7431,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.434,7435,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.438,7438,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.441,7442,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.450,7450,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.455,7455,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:07.459,7459,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:09.317,9318,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:09.320,9321,TICK,Down,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:09.323,9324,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
02:15:09.329,9329,TICK,Up,0.4800,0.4900,0.4850,0.5100,0.5200,0.5150,,,
