timestamp_utc,ms_since_candle_start,event_type,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
02:15:02.861,2861,TICK,Up,0.3300,0.5000,0.4150,,,,,,
02:15:02.869,2870,TICK,Down,0.3300,0.5000,0.4150,0.5000,0.6700,0.5850,,,
02:15:03.066,3066,TICK,Up,0.5000,0.5100,0.5050,0.5000,0.6700,0.5850,,,
02:15:03.071,3071,TICK,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.308,3308,TICK,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.314,3314,TICK,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.321,3321,TICK,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.324,3324,TICK,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.327,3328,TICK,Down,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.332,3333,TICK,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.336,3336,TICK,Up,0.5000,0.5100,0.5050,0.4900,0.5000,0.4950,,,
02:15:03.342,3342,TICK,Up,0.6300,0.6700,0.6500,0.4900,0.5000,0.4950,,,
02:15:03.346,3346,TICK,Down,0.6300,0.6700,0.6500,0.3300,0.3700,0.3500,,,
02:15:03.351,3351,TICK,Up,0.6300,0.6700,0.6500,0.3300,0.3700,0.3500,,,
02:15:03.669,3670,TICK,Up,0.6300,0.6700,0.6500,0.3300,0.3700,0.3500,,,
02:15:03.674,3674,TICK,Down,0.6300,0.6700,0.6500,0.3300,0.3700,0.3500,,,
02:15:03.678,3678,TICK,Down,0.6300,0.6700,0.6500,0.3300,0.3700,0.3500,,,
02:15:03.682,3683,TICK,Up,0.6200,0.6700,0.6450,0.3300,0.3700,0.3500,,,
02:15:03.688,3688,TICK,Down,0.6200,0.6700,0.6450,0.3300,0.3800,0.3550,,,
02:15:04.256,4257,TICK,Down,0.6200,0.6700,0.6450,0.3300,0.3800,0.3550,,,
02:15:04.262,4263,TICK,Up,0.6200,0.6700,0.6450,0.3300,0.3800,0.3550,,,
02:15:04.268,4268,TICK,Down,0.6200,0.6700,0.6450,0.3300,0.3800,0.3550,,,
02:15:04.273,4273,TICK,Up,0.6200,0.6700,0.6450,0.3300,0.3800,0.3550,,,
02:15:04.282,4282,TICK,Up,0.6100,0.6600,0.6350,0.3300,0.3800,0.3550,,,
02:15:04.286,4287,TICK,Down,0.6100,0.6600,0.6350,0.3400,0.3900,0.3650,,,
02:15:04.290,4290,TICK,Down,0.6100,0.6600,0.6350,0.3400,0.3900,0.3650,,,
02:15:04.809,4810,TICK,Up,0.6000,0.6300,0.6150,0.3400,0.3900,0.3650,,,
02:15:04.815,4816,TICK,Down,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:15:04.822,4822,TICK,Down,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:15:04.827,4828,TICK,Up,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:15:04.832,4832,TICK,Down,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:15:04.837,4838,TICK,Down,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:15:08.200,8201,TICK,Up,0.6200,0.6300,0.6250,0.3700,0.4000,0.3850,,,
02:15:08.203,8203,TICK,Down,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:15:08.205,8205,TICK,Up,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:15:08.207,8208,TICK,Up,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:15:08.209,8209,TICK,Down,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:15:08.211,8211,TICK,Down,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:15:08.213,8214,TICK,Up,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:15:08.215,8215,TICK,Down,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
