timestamp_utc,ms_since_candle_start,event_type,side,up_bid,up_ask,up_mid,dn_bid,dn_ask,dn_mid,entry_log_ask,entry_log_mid,entry_mv_pct
02:30:10.052,10052,TICK,Up,0.6700,0.6800,0.6750,,,,,,
02:30:10.054,10055,TICK,Down,0.6700,0.6800,0.6750,0.3200,0.3300,0.3250,,,
02:30:10.388,10388,TICK,Up,0.6000,0.6200,0.6100,0.3200,0.3300,0.3250,,,
02:30:10.409,10409,TICK,Down,0.6000,0.6200,0.6100,0.3800,0.4000,0.3900,,,
02:30:10.413,10413,TICK,Up,0.6000,0.6200,0.6100,0.3800,0.4000,0.3900,,,
02:30:10.425,10425,TICK,Down,0.6000,0.6200,0.6100,0.3800,0.4000,0.3900,,,
02:30:10.432,10433,TICK,Down,0.6000,0.6200,0.6100,0.3800,0.4000,0.3900,,,
02:30:10.436,10437,TICK,Down,0.6000,0.6200,0.6100,0.3800,0.4000,0.3900,,,
02:30:10.983,10984,TICK,Up,0.5800,0.5900,0.5850,0.3800,0.4000,0.3900,,,
02:30:10.995,10995,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.006,11007,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.022,11023,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.035,11035,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.048,11049,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.065,11066,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.077,11078,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:11.085,11086,TICK,Up,0.5600,0.5900,0.5750,0.4100,0.4200,0.4150,,,
02:30:11.099,11099,TICK,Down,0.5600,0.5900,0.5750,0.4100,0.4400,0.4250,,,
02:30:11.107,11107,TICK,Up,0.5600,0.5900,0.5750,0.4100,0.4400,0.4250,,,
02:30:11.111,11112,TICK,Down,0.5600,0.5900,0.5750,0.4100,0.4400,0.4250,,,
02:30:11.940,11940,TICK,Up,0.5800,0.6000,0.5900,0.4100,0.4400,0.4250,,,
02:30:11.944,11944,TICK,Down,0.5800,0.6000,0.5900,0.4000,0.4200,0.4100,,,
02:30:11.947,11948,TICK,Up,0.5800,0.6000,0.5900,0.4000,0.4200,0.4100,,,
02:30:11.950,11950,TICK,Up,0.5900,0.6000,0.5950,0.4000,0.4200,0.4100,,,
02:30:11.952,11952,TICK,Down,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.954,11954,TICK,Up,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.956,11957,TICK,Down,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.959,11960,TICK,Up,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.963,11964,TICK,Down,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.971,11971,TICK,Up,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.975,11975,TICK,Down,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.979,11979,TICK,Up,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.982,11983,TICK,Up,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.985,11986,TICK,Down,0.5900,0.6000,0.5950,0.4000,0.4100,0.4050,,,
02:30:11.988,11988,TICK,Up,0.5800,0.6000,0.5900,0.4000,0.4100,0.4050,,,
02:30:11.991,11992,TICK,Down,0.5800,0.6000,0.5900,0.4000,0.4200,0.4100,,,
02:30:11.994,11995,TICK,Down,0.5800,0.6000,0.5900,0.4000,0.4200,0.4100,,,
02:30:11.997,11998,TICK,Up,0.5800,0.6000,0.5900,0.4000,0.4200,0.4100,,,
02:30:12.685,12685,TICK,Up,0.5800,0.5900,0.5850,0.4000,0.4200,0.4100,,,
02:30:12.688,12688,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.692,12693,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.696,12697,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.699,12700,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.702,12703,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.707,12707,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.712,12713,TICK,Down,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.725,12725,TICK,Up,0.5800,0.5900,0.5850,0.4100,0.4200,0.4150,,,
02:30:12.731,12732,TICK,Up,0.6000,0.6300,0.6150,0.4100,0.4200,0.4150,,,
02:30:12.738,12738,TICK,Down,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:30:12.745,12745,TICK,Up,0.6000,0.6300,0.6150,0.3700,0.4000,0.3850,,,
02:30:12.753,12754,TICK,Up,0.6200,0.6300,0.6250,0.3700,0.4000,0.3850,,,
02:30:12.766,12767,TICK,Down,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:30:12.775,12776,TICK,Down,0.6200,0.6300,0.6250,0.3700,0.3800,0.3750,,,
02:30:13.519,13519,TICK,Up,0.6200,0.6400,0.6300,0.3700,0.3800,0.3750,,,
02:30:13.524,13524,TICK,Down,0.6200,0.6400,0.6300,0.3600,0.3800,0.3700,,,
02:30:13.527,13527,TICK,Up,0.6200,0.6400,0.6300,0.3600,0.3800,0.3700,,,
02:30:13.529,13530,TICK,Up,0.6200,0.6400,0.6300,0.3600,0.3800,0.3700,,,
02:30:13.533,13533,TICK,Down,0.6200,0.6400,0.6300,0.3600,0.3800,0.3700,,,
02:30:13.537,13537,TICK,Up,0.6200,0.6500,0.6350,0.3600,0.3800,0.3700,,,
02:30:13.541,13541,TICK,Down,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.545,13546,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.551,13552,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.560,13560,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.570,13570,TICK,Down,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.574,13574,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.577,13577,TICK,Down,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.582,13583,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.586,13586,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.748,13749,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.752,13753,TICK,Down,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.756,13756,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.759,13759,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.764,13764,TICK,Up,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.766,13767,TICK,Down,0.6200,0.6500,0.6350,0.3500,0.3800,0.3650,,,
02:30:13.769,13769,TICK,Up,0.6900,0.7000,0.6950,0.3500,0.3800,0.3650,,,
02:30:13.774,13774,TICK,Down,0.6900,0.7000,0.6950,0.3000,0.3100,0.3050,,,
02:30:13.778,13779,TICK,Up,0.6900,0.7000,0.6950,0.3000,0.3100,0.3050,,,
02:30:14.314,14314,TICK,Up,0.6300,0.7000,0.6650,0.3000,0.3100,0.3050,,,
02:30:14.318,14319,TICK,Down,0.6300,0.7000,0.6650,0.3000,0.3700,0.3350,,,
02:30:14.323,14323,TICK,Down,0.6300,0.7000,0.6650,0.3000,0.3700,0.3350,,,
02:30:14.424,14425,TICK,Up,0.6400,0.7000,0.6700,0.3000,0.3700,0.3350,,,
02:30:14.428,14428,TICK,Down,0.6400,0.7000,0.6700,0.3000,0.3600,0.3300,,,
02:30:14.433,14433,TICK,Up,0.6400,0.7000,0.6700,0.3000,0.3600,0.3300,,,
02:30:14.443,14444,TICK,Up,0.6600,0.7000,0.6800,0.3000,0.3600,0.3300,,,
02:30:14.447,14448,TICK,Down,0.6600,0.7000,0.6800,0.3000,0.3400,0.3200,,,
02:30:14.450,14451,TICK,Up,0.6600,0.7000,0.6800,0.3000,0.3400,0.3200,,,
02:30:14.643,14644,TICK,Up,0.6600,0.7000,0.6800,0.3000,0.3400,0.3200,,,
02:30:14.676,14676,TICK,Up,0.6700,0.7000,0.6850,0.3000,0.3400,0.3200,,,
02:30:14.684,14684,TICK,Down,0.6700,0.7000,0.6850,0.3000,0.3300,0.3150,,,
02:30:14.880,14881,TICK,Up,0.6800,0.7000,0.6900,0.3000,0.3300,0.3150,,,
02:30:14.883,14883,TICK,Down,0.6800,0.7000,0.6900,0.3000,0.3200,0.3100,,,
02:30:14.906,14907,TICK,Up,0.6800,0.7000,0.6900,0.3000,0.3200,0.3100,,,
02:30:15.273,15273,TICK,Up,0.7000,0.7100,0.7050,0.3000,0.3200,0.3100,,,
02:30:15.277,15277,TICK,Down,0.7000,0.7100,0.7050,0.2900,0.3000,0.2950,,,
02:30:15.332,15333,TICK,Up,0.7000,0.7100,0.7050,0.2900,0.3000,0.2950,,,
02:30:15.434,15434,TICK,Up,0.7100,0.7200,0.7150,0.2900,0.3000,0.2950,,,
02:30:15.438,15439,TICK,Down,0.7100,0.7200,0.7150,0.2800,0.2900,0.2850,,,
02:30:15.445,15446,TICK,Up,0.7100,0.7200,0.7150,0.2800,0.2900,0.2850,,,
02:30:15.777,15778,TICK,Up,0.7100,0.7200,0.7150,0.2800,0.2900,0.2850,,,
02:30:15.781,15781,TICK,Down,0.7100,0.7200,0.7150,0.2800,0.2900,0.2850,,,
02:30:15.783,15784,TICK,Down,0.7100,0.7200,0.7150,0.2800,0.2900,0.2850,,,
02:30:16.120,16120,TICK,Up,0.7000,0.7200,0.7100,0.2800,0.2900,0.2850,,,
02:30:16.123,16124,TICK,Down,0.7000,0.7200,0.7100,0.2800,0.3000,0.2900,,,
02:30:16.147,16147,TICK,Up,0.7000,0.7200,0.7100,0.2800,0.3000,0.2900,,,
02:30:16.149,16150,TICK,Up,0.7000,0.7100,0.7050,0.2800,0.3000,0.2900,,,
02:30:16.152,16152,TICK,Down,0.7000,0.7100,0.7050,0.2900,0.3000,0.2950,,,
02:30:16.154,16154,TICK,Down,0.7000,0.7100,0.7050,0.2900,0.3000,0.2950,,,
02:30:16.156,16157,TICK,Up,0.6800,0.7100,0.6950,0.2900,0.3000,0.2950,,,
