timestamp,time_utc,side,outcome,price,size,usdc,market
1774113517,2026-03-21 17:18:37,BUY,Up,0.89,7.0,6.23,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113519,2026-03-21 17:18:39,BUY,Down,0.14,19.000890000000002,2.6601246000000005,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113521,2026-03-21 17:18:41,BUY,Up,0.81,14.105979999999999,11.425843799999999,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113531,2026-03-21 17:18:51,BUY,Down,0.17266630080795775,32.151795,5.551531506985792,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113537,2026-03-21 17:18:57,BUY,Up,0.83,7.0,5.81,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113537,2026-03-21 17:18:57,BUY,Up,0.85,7.0,5.95,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113539,2026-03-21 17:18:59,BUY,Up,0.82,7.0,5.739999999999999,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113545,2026-03-21 17:19:05,BUY,Down,0.15000010035465333,0.996466,0.14947,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113545,2026-03-21 17:19:05,BUY,Up,0.83,7.0,5.81,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113565,2026-03-21 17:19:25,BUY,Up,0.92,5.902,5.42984,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113569,2026-03-21 17:19:29,BUY,Up,0.92,7.0,6.44,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113569,2026-03-21 17:19:29,BUY,Up,0.93,7.0,6.510000000000001,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113573,2026-03-21 17:19:33,BUY,Up,0.96,6.37765,6.1225439999999995,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113573,2026-03-21 17:19:33,BUY,Up,0.98,6.99933,6.859343399999999,"Solana Up or Down - March 21, 1:15PM-1:20PM ET"
1774113607,2026-03-21 17:20:07,,,0.0,158.69738,0.0,"Solana Up or Down - March 21, 1:10PM-1:15PM ET"
1774113607,2026-03-21 17:20:07,BUY,Up,0.55,7.0,3.8500000000000005,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113607,2026-03-21 17:20:07,BUY,Up,0.56,7.0,3.9200000000000004,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113609,2026-03-21 17:20:09,BUY,Down,0.47821959226292277,17.147644,8.200339321949754,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113611,2026-03-21 17:20:11,BUY,Up,0.51,2.98,1.5198,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113611,2026-03-21 17:20:11,BUY,Up,0.51,4.02,2.0502,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113665,2026-03-21 17:21:05,BUY,Down,0.46,1.72,0.7912,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113665,2026-03-21 17:21:05,BUY,Down,0.46000000757894993,5.277776,2.4277770000000003,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113669,2026-03-21 17:21:09,BUY,Down,0.38,7.0,2.66,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113669,2026-03-21 17:21:09,BUY,Down,0.37000008438190635,3.910791,1.446993,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113671,2026-03-21 17:21:11,BUY,Down,0.28,7.0,1.9600000000000002,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113671,2026-03-21 17:21:11,BUY,Down,0.26,7.0,1.82,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113671,2026-03-21 17:21:11,BUY,Down,0.27,7.0,1.8900000000000001,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113687,2026-03-21 17:21:27,BUY,Up,0.84,7.0,5.88,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113689,2026-03-21 17:21:29,BUY,Down,0.15,5.97562,0.896343,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
1774113731,2026-03-21 17:22:11,BUY,Up,0.8800001430700873,5.591665,4.920666,"Solana Up or Down - March 21, 1:20PM-1:25PM ET"
