#,timestamp,time_utc,side,outcome,price,size,usdc,market
239,1774098609,2026-03-21 13:10:09,BUY,Up,0.49,12.0,5.88,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
240,1774098609,2026-03-21 13:10:09,BUY,Up,0.49,9.61,4.7089,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
241,1774098609,2026-03-21 13:10:09,BUY,Up,0.49,12.0,5.88,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
242,1774098609,2026-03-21 13:10:09,BUY,Up,0.49,12.0,5.88,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
243,1774098609,2026-03-21 13:10:09,BUY,Up,0.4900000745384793,5.098038,2.498039,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
244,1774098609,2026-03-21 13:10:09,BUY,Up,0.49832970297029705,99.42192,49.54489586233664,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
245,1774098613,2026-03-21 13:10:13,BUY,Down,0.38,10.0,3.8,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
246,1774098621,2026-03-21 13:10:21,BUY,Down,0.4,101.0,40.400000000000006,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
247,1774098629,2026-03-21 13:10:29,BUY,Up,0.58,4.39,2.5462,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
248,1774098633,2026-03-21 13:10:33,BUY,Down,0.3,15.5,4.6499999999999995,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
249,1774098633,2026-03-21 13:10:33,BUY,Down,0.3,8.45714,2.5371420000000002,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
250,1774098633,2026-03-21 13:10:33,BUY,Down,0.3,20.22857,6.068571,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
251,1774098633,2026-03-21 13:10:33,BUY,Down,0.31,1.0,0.31,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
252,1774098635,2026-03-21 13:10:35,BUY,Down,0.30000001891892353,5.285713,1.585714,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
253,1774098635,2026-03-21 13:10:35,BUY,Up,0.6,101.0,60.599999999999994,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
254,1774098635,2026-03-21 13:10:35,BUY,Up,0.61,101.0,61.61,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
255,1774098635,2026-03-21 13:10:35,BUY,Down,0.3,1.54,0.46199999999999997,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
256,1774098635,2026-03-21 13:10:35,BUY,Down,0.31,100.0,31.0,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
257,1774098635,2026-03-21 13:10:35,BUY,Down,0.3,5.25714,1.5771419999999998,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
258,1774098635,2026-03-21 13:10:35,BUY,Down,0.30000000774336444,12.914283,3.8742849999999995,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
259,1774098635,2026-03-21 13:10:35,BUY,Down,0.3,31.8,9.54,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
260,1774098639,2026-03-21 13:10:39,BUY,Up,0.57,101.0,57.56999999999999,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
261,1774098639,2026-03-21 13:10:39,BUY,Up,0.59,101.0,59.589999999999996,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
262,1774098645,2026-03-21 13:10:45,BUY,Down,0.29,25.0,7.249999999999999,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
263,1774098645,2026-03-21 13:10:45,BUY,Down,0.29,25.0,7.249999999999999,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
264,1774098661,2026-03-21 13:11:01,BUY,Down,0.41000000271473447,29.468812,12.082213,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
265,1774098661,2026-03-21 13:11:01,BUY,Down,0.41,15.0,6.1499999999999995,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
266,1774098663,2026-03-21 13:11:03,BUY,Down,0.41,56.53,23.1773,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
267,1774098663,2026-03-21 13:11:03,BUY,Down,0.4,15.25,6.1000000000000005,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
268,1774098663,2026-03-21 13:11:03,BUY,Down,0.40000001870586815,10.691832,4.276732999999999,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
269,1774098663,2026-03-21 13:11:03,BUY,Down,0.4,5.0,2.0,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
270,1774098665,2026-03-21 13:11:05,BUY,Down,0.4,70.05,28.02,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
271,1774098665,2026-03-21 13:11:05,BUY,Up,0.6,4.93,2.9579999999999997,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
272,1774098693,2026-03-21 13:11:33,BUY,Up,0.54,101.0,54.540000000000006,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
273,1774098719,2026-03-21 13:11:59,BUY,Down,0.65,5.89,3.8285,"Ethereum Up or Down - March 21, 9:00AM-9:15AM ET"
274,1774098719,2026-03-21 13:11:59,BUY,Down,0.6500000160878456,27.971427,18.181428,"Ethereum Up or Down - March 21, 9:00AM-9:15AM ET"
275,1774098719,2026-03-21 13:11:59,BUY,Down,0.47,99.43322,46.7336134,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
276,1774098719,2026-03-21 13:11:59,BUY,Down,0.46,32.03805,14.737503,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
277,1774098719,2026-03-21 13:11:59,BUY,Up,0.5400000130219397,30.71739,16.587391,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
278,1774098719,2026-03-21 13:11:59,BUY,Up,0.5400000556772427,7.543477,4.073478,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
279,1774098719,2026-03-21 13:11:59,BUY,Up,0.5400000149858363,30.695651,16.575652,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
280,1774098719,2026-03-21 13:11:59,BUY,Up,0.5400000224086623,16.065216,8.675217,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
281,1774098721,2026-03-21 13:12:01,BUY,Down,0.44,4.99,2.1956,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
282,1774098727,2026-03-21 13:12:07,BUY,Up,0.71,23.92,16.9832,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
283,1774098727,2026-03-21 13:12:07,BUY,Down,0.26,8.31,2.1606,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
284,1774098727,2026-03-21 13:12:07,BUY,Up,0.7,16.0,11.2,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
285,1774098727,2026-03-21 13:12:07,BUY,Up,0.7100000067470528,77.070688,54.720189000000005,"Ethereum Up or Down - March 21, 9:10AM-9:15AM ET"
286,1774098727,2026-03-21 13:12:07,BUY,Up,0.6331039603960396,99.63763,63.08097815747524,"Bitcoin Up or Down - March 21, 9:10AM-9:15AM ET"
