timestamp,type,outcome,price,size,market,title
1774056959,TRADE,Up,0.5900001763001005,2.439023,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.58,2.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,9.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,6.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,7.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,12.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,5.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,11.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.78,14.0,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.5900000637778151,3.292681,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.5883148514851485,99.51881,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,9.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,6.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.59,5.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.68,3.89,"Bitcoin Up or Down - March 20, 9:30PM-9:45PM ET","Bitcoin Up or Down - March 20, 9:30PM-9:45PM ET"
1774056959,TRADE,Up,0.78,25.0,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.68,37.53125,"Bitcoin Up or Down - March 20, 9:30PM-9:45PM ET","Bitcoin Up or Down - March 20, 9:30PM-9:45PM ET"
1774056959,TRADE,Up,0.68,23.94,"Bitcoin Up or Down - March 20, 9:30PM-9:45PM ET","Bitcoin Up or Down - March 20, 9:30PM-9:45PM ET"
1774056959,TRADE,Down,0.18,4.08585,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Down,0.19,13.56,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Down,0.18000001637953345,9.768288,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Down,0.57,46.0,"Ethereum Up or Down - March 20, 9:30PM-9:45PM ET","Ethereum Up or Down - March 20, 9:30PM-9:45PM ET"
1774056959,TRADE,Down,0.19000001717315057,10.481478,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Down,0.19,6.28,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056959,TRADE,Up,0.78,50.0,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.47,52.66,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.47,3.56,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
