timestamp,time_utc,side,outcome,price,size,usdc,market
1774116681,2026-03-21 18:11:21,BUY,Down,0.72,15.0,10.799999999999999,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.72,5.0,3.5999999999999996,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.7200001724846704,3.47857,2.504571,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.7200000212178987,30.163213,21.717513999999998,"Ethereum Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.6900000634104078,10.408386,7.181787000000001,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.7,22.72,15.903999999999998,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.7,3.6,2.52,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.7,2.04,1.428,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.68,6.52,4.4336,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.68,2.9875,2.0315,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116681,2026-03-21 18:11:21,BUY,Down,0.7,15.0,10.5,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116683,2026-03-21 18:11:23,BUY,Down,0.74,69.35219,51.32062059999999,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
1774116683,2026-03-21 18:11:23,BUY,Down,0.73,19.64,14.3372,"Bitcoin Up or Down - March 21, 2:10PM-2:15PM ET"
